kids,Budget brand,"glory,os,oley,baboo,rw,yh,puzzles,educo,babytime,disney,budibasa,restar,hotwheels,elbasco,yoga,b-kids,next,magic,weitai,wowwee,skazocnyjpatrul,huile,hubeiindustrialaimiletrading,shopkins,dickietoys,origami,whito,sunbody,schreuders,funville,tmnt,scooter,metoo,silverlit,alilo,tinytoes,frozen,nizegorodskaaigruska,steppuzzle,lovular,grow-with-me,molfix,kakadu,imctoys,suncolor,jinma,viga,karapuz,lori,vtech,mz,maisto,prestigio,maxi,starwars,enchantimals,zazu,sariel,jazwares,aimile,orange,stuntcar,doubleeagle,monchhichi,ouaps,zuru,bestoy,vladitoys,playskool,coolmaster,fitchbaby,welly,kiddieart,metoyou,playlab,kroskaa,wenyi,ty,magicbeartoys,educa,wincars,derevaski,steffilove,yoshioki,yoyofactory,la-di-da,xkg,sulongtojs,keenway,lorelli-bertoni,roxykids,tigres,scruff-a-luvs,rubiks,hap-p-kid,ruixinlang,lalaloopsy,zajkami,vesna,creature,abtoys,joonies,miraculous,i-baby,bambola,jiada,kskids,maidou,dodo,basik,sgary,sachiko,mstar,callida,huggies,hb,toocool,defalucy,potatohead,crybabies,babygo,syma,genki,henglei,penny,zapfcreation,fornite,mefferts,mello,goo.n,goon,playmates,rastar,xieming,softoy,lorelli,bouncin,wiseson,dickie,wster,babyswing,pituso,sabi,weichao,batman,timbergroup,hairdorables,wltoys,vulli,azbukvarik,llorens,simba,manuoki,shenma,ourgeneration,bayerdolls,micmax,mioshi,buttonblue,plitex,lol,playgro,munchkin,nella,bburago,twistclimbingcar,auldey,hasbro,yoya,skytech,niio,kuqidai,sekiguchi,mattel,babyhit,insinse,mastela,smartway,barbie,sozzy,cubicfun,wangfeng,moony,tedmyfriend,kingmeda,pawpatrol,hunter,graffiti,polese,x-game,jjrc,traxxas,weina,onlitop,rexco,zinc,maxcolor,bayer,trefl,fancy,momi,midou,globber,fisherprice,coballe,furreal,glimmies,nici,jimcarrey,zegan,battat,lapkin,gulliver,intex,yokito,ortopazl,kinlee,merries,sweety,pampers,huanger,marvel,bertoni,woddon,vdovichev,altacto,tomik,melissadoug,melidadi,feile,robocarpoli,castorland,teknum,fisher-price,ladida,polaris,sigikid"
fan,High-end brand,bork
alarm,,""
projector,,""
water_heater,,""
fmcg,Budget brand,"molfix,insinse,huggies,moony,merries,pampers,yoshioki,manuoki,goo.n,goon,joonies,genki,sachiko,yokito,mello,sweety,sabi,lovular,momi,whito"
video,Affordable brand,"arg,aoc,horizont,kivi,artel,ergo,sjcam,zoom,ricoh,xiaomi,changhong,rebus,yasin,byintek,shivaki,philips,epson,tcl,ava,panasonic,dune,dauscher,dexp"
keyboard,Budget brand,"crown,rapoo,cnd,logitech,canyon,hyperx,genius,ritmix,harper,sven,defender,cougar,trust,gembird,delux,steelseries,konoos,smartbuy,acme,wintek,razer,hibertek,redragon,x-game"
personal,High-end brand,"garmin,bork,casada"
headphone,Affordable brand,"parrot,fiio,presonus,avermedia,beats,marshall,beyerdynamic,cowon,tascam,alctron,hifiman,vox,honor,kingston,gamdias,philips,nokia,alesis,pioneer,xiaomi,ergo,meizu,behringer,akg,creative,fostex,sennheiser,westone,m-audio,casio,panasonic,edifier,gamemax,gigabyte,huawei,audio-technica"
lawn_mower,High-end brand,"lux-tools,husqvarna,viking,yardforce"
fryer,Budget brand,clatronic
steam_cooker,High-end brand,"smeg,kuppersberg,kuppersbusch"
kettle,,""
headphone,Mid-range brand,"microsoft,yamaha,soundking,shure,lg,fly,hp,sony,bose,samsung"
fan,Mid-range brand,"deton,milwaukee"
computers,,""
acoustic,,""
wallet,,""
carriage,,""
saw,Affordable brand,"carver,mcculloch,ken,tch,magnetta,huter,bosch,dremel,einhell,leo,cmi,stalker,zubr,dewalt,ryobi,sibrteh,hyundai"
keds,Mid-range brand,"fly,persona"
hood,Affordable brand,"dauscher,artel,darina,mbs,midea,zorg,simfer,monsher,electronicsdeluxe,beko,kronasteel,akpo,faber,cata,shivaki,gorenje,elica,hansa,elikor,maunfeld,bosch,jetair,indesit,gefest"
grill,High-end brand,"weber,bork"
tools,,""
electronics,Mid-range brand,"suunto,soundking,microsoft,michaelkors,toshiba,cinemood,blackberry,haier,alpina,lg,roamer,bose,vestel,sony,versus,polar,orimag,shure,olympus,headrush,oppo,torgue,magaudio,yamaha,tanglewood,blaupunkt,arturia,hp,umi,fly,epiphone,samsung,gopro,leeco,audison,zinvo,xp-pen,traser,candy,peavey,balmain,vivo,norman"
keyboard,Mid-range brand,"hp,microsoft"
table,Mid-range brand,"startline,bazhou,komfort-s,anreks,sv,imperial,emer"
mixer,Budget brand,"polaris,willmark,elenberg,saturn,redmond,scarlett,vitek,maxwell,clatronic,unit,galaxy,zelmer,first"
kitchen,Affordable brand,"gipfel,listvig,delta,monsher,ikea,davita,mebels,leadbros,konov,kristal,mamadoma,aletant,mbs,bosher,faber,zorg,gerbor,xiaomi,ava,braun,beaba,maunfeld,gorenje,mebelswow-rn,elikor,philips,optima,cata,mebelson,bosch,midea,brevi,carino,darina,joie,dauscher,homeelement,thor,inspiwood,shivaki,xing,simfer,bts,graco,brw,elica,tefal,kenwood,signal,akpo,horizont,peg-perego,oribel,skillmax,beko,evgo,moulinex,maribel,stolline,v-unic,kronasteel,cmi,jetair,arnica,vista,greta,fengnix,birusa,atlant,skandika,popov,chicco,artel,nuna,ersport,comfee,panasonic,gefest,avrora,barty,almacom,arg,indesit,kitfort,rebus,atlantic,ariete,ferre,demiray,hansa,halmar,domini,hauck,genau,glamvers,polini,stinol,flama,satura,oursson,sencor,stendmebel,jetem,electronicsdeluxe,dexp,nutribullet,stiga"
radar,,""
piano,Budget brand,"akai,tesler,cortland,denn"
dress,Budget brand,"aivengo,mltl,sly,vilatte,conceptclub,annaanna,noppies"
keds,Affordable brand,"rovigo,tuffoni,jordan,etor,fila,nike,bugatti,greyder,anta,reebok,salamander,salomon,columbia,hoka"
painting,Budget brand,"wortex,paint,stels,matrix,alteco,dwt,crown,kolner,eco,patriot"
photo,Budget brand,sigma
washer,Budget brand,"willmark,renova"
components,High-end brand,"hpe,lenovo,teka,asus,evga,kuppersberg,smeg,smart,hitachi,jacobdelafon,dell,msi"
hob,,""
trainer,High-end brand,"fitlux,nordictrack,gf,kettler,casada,merach,oxygen,sportop,renegade,steelflex,tianzhanfitness,shua,fitnex,americanmotionfitness"
juicer,Budget brand,"vitek,redmond,maxwell,zelmer,elenberg,smile,unit,clatronic,scarlett,saturn,galaxy,polaris"
bicycle,Mid-range brand,"gt,wethepeople,dk,gaint,thule,sunday,dahon,author,kona,lg,schwinn,liv,kink,stark"
cooler,,""
jumper,Budget brand,"blueseven,catimini,conceptclub,dirkje,didistyle,noopies,gaissina"
sandals,Budget brand,"rooman,spur,respect,minimen,caprice,suave,pablosky,agatharuizdelaprada,biomecanics,lealelo,indiana,remonte,tesoro,rieker,keddo,crosby,garvalin"
faucet,High-end brand,"teka,kuppersberg,smeg,jacobdelafon"
bicycle,,""
meat_grinder,High-end brand,"neo,bork"
microphone,High-end brand,"asus,leem,neumann,proel"
vacuum,Mid-range brand,"metabo,milwaukee,danke,stihl,thomas,hotpoint-ariston,miele,samsung,lg,makita,fubag,roborock,bissell,delonghi"
jeans,,""
subwoofer,Budget brand,"jvc,swat,vibe,audiotop,alphard,phantom,kicx,mystery,nakamichi,sonda,crunch,machete,fsd,jbl,infinity,graffitisound,clarion,acv,avatar,dlaudio,soundstream"
diapers,,""
pump,High-end brand,"livnynasos,senci,tarlan,dab,pedrollo,kelet,firman,lutian,helix"
bath,,""
coffee_grinder,Mid-range brand,"melitta,delonghi"
scales,High-end brand,garmin
coffee_grinder,,""
winch,Mid-range brand,t-max
cabinet,Affordable brand,"stendmebel,vmv,mebelson,cersanit,vasden,akvarel,alavann,opadiris,misty,brw,fant-mebel,kmk,bts,satura,aqualife,akvaton,ikea,efp"
furniture,Mid-range brand,"mebbery.kz,grohe,value,imperial,am.pm,triton,centrpravilnogosna,cam,botticelli,rajton,startline,obi,roca,simpleparenting,universal,romack,bazhou,belux,luciasvetlaa,emer,komfort-s,lifedeco,mebelev,anreks,inglesina,orto-bed,sv,fly,adamex,recaro,mebelazii,htw,stokke,lider,mojdodyr,mibb,mebelservice,asm,laufen,ashleyfurniture"
moccasins,High-end brand,weekend
hair_cutter,,""
welding,High-end brand,"telwin,inter,jasic,kaiser"
hob,Affordable brand,"simfer,bosch,homeelement,electronicsdeluxe,darina,gorenje,flama,indesit,gefest,midea,carino,mbs,maunfeld,kitfort,hansa,dauscher,akpo,thor,beko,greta,cata"
environment,Affordable brand,"zobo,optima,biemmedue,gutrend,starmix,gorenje,midea,dauscher,artel,annovireverberi,cata,atlantic,sibrteh,tcl,magnetta,hintek,arnica,dahatsu,ryobi,tefal,master,fresh,xiaomi,karcher,bosch,zerten,mcculloch,runwin,philips,simfer,einhell,resanta,gardena,denzel,shivaki,teploross,hyundai,ilife,ava,pika,kitfort,thermex,carver,klima,felisatti,ariston,dewalt,forza,zubr,panasonic,hoover,beko,horizont,sencor,otex,dexp,almacom"
pillow,,""
wallet,Mid-range brand,coccinelle
mouse,Affordable brand,"gigabyte,thermaltake,xiaomi,kingston,gamdias,gamemax"
furniture,Affordable brand,"quatro,chicco,inspiwood,redford,aqualife,interlink,brw,signal,incanto,hauck,oribel,kiddy,domani-spa,satura,borovici,bambini,kale,mantra,alavann,bohemia,belecoo,popov,stiga,zara,adamas,akvarel,ikea,cersanit,listvig,smk,ferrari,skillmax,kolpasan,skv,ersport,heyner,genau,forminabanyo,joie,jetem,fant-mebel,maxi-cosi,fengnix,graco,efp,vista,glamvers,ventara,creo,kolo,stendmebel,peg-perego,mamadoma,lel,vegas,avrora,creoceramique,jika,v-unic,vmv,nuna,chairman,maribel,brevi,kmk,llarri,olmeko,mozgamebel,uomo,besafe,gerbor,vasden,skandika,domini,xiaomi,skv-kompani,stolline,vitra,futura,davita,schardt,polini,barty,mebelswow-rn,santek,opadiris,akvaton,mebelson,halmar,misty,askona,estap,kirovit,bts,mio,dardav,mebels,creavit,tridevatoecarstvo"
mouse,High-end brand,"msi,apple,dell,acer,lenovo,asus"
light,Affordable brand,"bohemia,futura,mantra,xiaomi,maysun,ikea,philips"
water_heater,High-end brand,"sunsystem,rinnai,cooperhunter"
shirt,Mid-range brand,ski-doo
steam_cooker,,""
appliances,,""
skirt,High-end brand,weekend
juicer,High-end brand,"smeg,neo,bork"
desktop,High-end brand,"asus,smart,pulser,silva,netechnics,evrika,acer,apple,neo,avalon,alser,lenovo,dell"
air_conditioner,Budget brand,"snowcap,oasis,elenberg"
alarm,Budget brand,"davinci,alligator,cenmax,centurion,scher-khan"
jacket,Budget brand,sly
moccasins,Budget brand,"spur,pablosky,bartek,garvalin,caprice,respect,destra,minimen,rooman,tesoro"
bed,Mid-range brand,"lifedeco,value,orto-bed,romack,luciasvetlaa,centrpravilnogosna,sv,rajton,mebelazii,stokke,mebbery.kz,mibb,imperial,lider,mebelev,komfort-s"
hood,,""
peripherals,,""
juicer,Affordable brand,"panasonic,kitfort,kenwood,moulinex,braun,philips,bosch,gorenje,sencor,dauscher,arnica,maunfeld,artel"
dishwasher,Budget brand,aeg
tennis,Affordable brand,stiga
sofa,Mid-range brand,"komfort-s,asm,htw,imperial"
memory,Budget brand,"v-color,apacer,hynix,crucial,hyperx,patriot,geil,adata,teamgroup,transcend"
hammok,Affordable brand,ventara
slipons,Affordable brand,"bugatti,greyder"
universal,Affordable brand,"bohemia,mantra,futura,ikea"
telephone,Affordable brand,"nokia,philips,ergo,panasonic"
tools,Affordable brand,"gardena,dremel,tefal,laston,gmslivgidromasao,xiaomi,hilti,magnetta,leo,force,einhell,hyundai,carver,esab,resanta,cmi,zubr,dewalt,wert,mantra,bosch,denzel,helvi,cameo,ikea,ken,aeroforce,tch,polti,midea,bestway,karcher,paton,aiken,kitfort,felisatti,elitech,stalker,sibrteh,philips,ryobi,huter,forza,maysun,mcculloch,kress,speroni,kaierda"
vacuum,High-end brand,"hobot,irobot,husqvarna,bork,dyson,hitachi"
step_ins,Budget brand,"respect,rieker,crosby"
hood,High-end brand,"nodor,whirlpool,bompani,kuppersbusch,ardesia,teka,kuppersberg,smeg,kaiser"
microphone,Affordable brand,"audio-technica,avermedia,laudio,sennheiser,work,apart,beyerdynamic,m-audio,kingston,fame,alctron,philips,stagg,tascam,akg,force,rode,behringer,pro-karaoke"
table,Budget brand,"barneo,deluxe,homeart"
hdd,Mid-range brand,"samsung,intel,toshiba,hp"
pump,,""
chair,Mid-range brand,"adamex,fly,sv,inglesina,komfort-s,recaro,lifedeco,stokke,simpleparenting,ashleyfurniture,cam"
welding,Mid-range brand,"redbo,fubag,aurora"
blender,Mid-range brand,"hotpoint-ariston,electrolux"
air_conditioner,,""
printer,Affordable brand,"ricoh,xerox,epson"
tshirt,,""
kids,Mid-range brand,"smoby,maclaren,hp,fitrider,aurora,tomoloo,easywalker,mccan,thule,stokke,verdi,moongmbh,cam,obi,slaro,kugoo,freefeet,maomaoku,joieanglia,pegperego,moon,circle,adamex,bumbleride,lonex,segway,hotmom,motivyotdyha,recaro,quinny,candy,tutis,olsa,larktale,riko,inglesina"
tv,Mid-range brand,"vestel,lg,sony,samsung,blaupunkt,toshiba,haier"
kitchen,High-end brand,"ascoli,kitchenaid,skyworth,kaiser,kuppersbusch,whirlpool,molodecnomebel,smalvic,cellarprivate,ardesia,hisense,bompani,mima,cavanova,cybex,smeg,nardi,neff,daewoo,kettler,aero,bork,krups,liebherr,gomeldrev,dunavox,nodor,hitachi,teka,jura,pinskdrev,bonvini,micuna,kuppersberg,alpicool,neo,weber,climadiff,siemens"
cabinet,Mid-range brand,"sv,mojdodyr,imperial,lifedeco,komfort-s,roca,mibb,anreks,obi,mebelservice,botticelli"
universal,High-end brand,"preciosa,aldit,elitebohemia,herman"
refrigerators,High-end brand,"hitachi,climadiff,liebherr,cellarprivate,ascoli,smeg,kuppersberg,neo,teka,skyworth,cavanova,alpicool,kuppersbusch,whirlpool,bompani,bonvini,dunavox"
living_room,Mid-range brand,"mibb,adamex,lifedeco,obi,sv,botticelli,stokke,anreks,simpleparenting,komfort-s,mebelservice,imperial,inglesina,roca,asm,mojdodyr,htw,recaro"
bag,High-end brand,"apple,dell,lenovo,asus,neo,acer,weekend"
furniture,Budget brand,"tesma,caramelia,modern,maclay,sitparad,siger,astrid,teknum,alfa,nania,zlatek,monro,everflo,tizo,mirodel,bambola,bayerlux,babyhit,vasilisa,maja,kupu-kupu,spalenka,pituso,iddis,faans,cepeckaamf,edelvejs,gesso,verossa,koopman,vako,arua,barneo,zeta,palisad,mica,dormeo,mc,lorelli-bertoni,kroskindom,aerocool,juventa,miromaks,smarttextile,antika,bertoni,tradiciatekstila,santeri,selby,ekonomia,avrorateksdizajn,alterna,mojmalys,smile,edem,ol-tex,homeart,stilvasejspalni,alvitek,candide,lidonet,lorelli,monkey,svetogor,adel,globex,prc,sonoterra,deluxe,babys,bio-tekstil,ecotex,baby,osminozka,almaks,selena,matrix,dobroparov,shenma,legkiesny,mebelcon,magkijson,madamecoco,sanita,babygo,stryj,rosa,tamish,mifold,whitewave,vesta,emily,belashoff,sonnaaskazka,colombo,stolicatekstila,sheffilton,intex,mariaiskusnica,nika,illumico,karapuz"
motherboard,Affordable brand,"foxconn,colorful,asrock,gigabyte"
clocks,High-end brand,"hamilton,edox,longines,certina,preciosa,mido,tissot,oris,bomberg,bulova,louiserard,apple,seiko,otan,sevenfriday,garmin,rado"
projector,Mid-range brand,"orimag,cinemood,sony"
air_heater,Budget brand,"ballu,oasis,domasnijocag,willmark,saturn,swissline,ecoterm,greentek,sinbo,luazon,scoole,ewt,profteplo,demark,delsot,yika,lumme,elenberg,etalon,alteco,elvin,smile,barhatnyjsezon,redmond,engy,teplokryma,timberk,stern,normann,zass,wester,kraton,vitek,stn,sakura,ditreex,irit,galaxy,termia,p.i.t.,polaris,rovus,luxell"
kitchen,Budget brand,"berghoff,barneo,daewooelectronics,lorelli,rondell,dam,sakura,now,maestro,babys,snowcap,nika,ardo,sess,fit-rx,monkey,akel,baby,kumtel,kambrook,asel,bene,pituso,willmark,clatronic,bergner,teknum,koopman,delimano,tristar,zelmer,luxell,fissman,ibili,ventura,sinbo,homeart,globex,aston,akro,natrol,unit,energy,daiwerina,vitek,centek,crown,nutrex,marta,aeg,ves,mc,smile,sitparad,maja,elenberg,apollo,scarlett,babygo,swissline,agness,maxwell,geneticlabnutrition,maxima,homs,zeta,turboair,tramontina,saturn,wellberg,oasis,renova,turbo,olto,maman,deluxe,agu,redmond,vinzer,karapuz,bambola,galaxy,lorelli-bertoni,haeger,luazon,boyscout,prc,greentek,lumme,dobroparov,polaris,shenma,coolfort,taller,bbk,aksion,galanz,dsp,selby,masima,cepeckaamf,stryj,hottek,sheffilton,first,matrix,shindo"
steam_cooker,Affordable brand,"panasonic,philips,tefal,gorenje,beaba,braun"
air_heater,High-end brand,"wing,karma,kaiser,bork,firman,kelet,tigerking"
toilet,,""
sofa,High-end brand,"kia,trevi,rivalli,aero,rals,mebberi,pinskdrev,hotner,silva,nik,bellamebel,apriori,divalux,mebberykz,embawood"
light,Mid-range brand,"lg,metabo,lifedeco"
accessories,Mid-range brand,"mateus,kaier,ezetil,dowontec,farcar,sony,winca,persona,t-max,dometic,blackvue,thule,redpower,hp,fubag,metabo,cameron,coccinelle,coleman,pandora,aurora"
massager,Mid-range brand,housefit
kids,Affordable brand,"maribel,philandteds,roxy,oribel,stiga,nuna,maxi-cosi,adil,indigo,belecoo,capella,espiro,kacper,spinmaster,kampfer,sphero,babymoov,evenflo,hubsan,parrot,chicco,ferrari,xiaomi,wingoffly,graco,joe,hauck,slider,longway,glamvers,keter,bartplast,cityrover,osann,redford,forward,torrent,orbotix,joie,biwec,lorellibolgaria,brevi,babykiss,omnio,peg-perego,altair,quatro,goodbaby,parklon,idillia,rant,jetem,babysinq,micro,skillmax,exost,manke,hightechway,hq,kiddy,benebaby,babyzz,bair,phoenix,jakkspacific,alis,rizmo"
audio,High-end brand,"jamo,dynacord,fender,rcf,suzuki,blg,medeli,canton,biema,acer,proel,krk,turbosound,samson,gretsch,ecler,kurzweil,neumann,leem,korg,electro-voice,asus,mackie,takamine,adam,studiomaster,blam,kef,liberty,lenovo,apple,roland,msi"
sport,Affordable brand,"peruzzo,atomic,bentley,columbia,evrodetal,konlega,cliff,torrent,glamvers,stiga,mooveandfun,scool,rossignol,nordica,racer,biwec,kpt,fenix,salomon,forward,lamborghini,santacruz,novatrack,everlast,santa-cruz,altair,bodysculpture,micio,axis,phoenix,haro,smartrike,longstyle,roxy,jinyuan,qplay,elan,xiaomi,progress,stinger,atlant,lux,mongoose,domyos,aist,trinx,ride"
faucet,Mid-range brand,"franke,am.pm,grohe,lg"
sandals,,""
country_yard,Mid-range brand,"al-ko,makita,stihl,greenworks"
toilet,Affordable brand,"kirovit,vitra,mio,cersanit,kale,creoceramique,jika,creavit,santek"
environment,High-end brand,"mdv,dyson,wing,chigo,hitachi,firman,kelet,tigerking,bork,cooperhunter,aux,hobot,sunsystem,karma,irobot,kaiser,husqvarna,rinnai"
smartphone,Budget brand,"ark,jinga,prestigio,texet,hiper,bq,bravis,gionee,tp-link,irbis,micromax,vertex,zte,inoi,tecno"
"",,""
sock,Affordable brand,"maxi-cosi,joie,chicco"
accessories,,""
moccasins,,""
components,Budget brand,"hiper,crown,rossinka,kingmax,coolermaster,segotep,slezakrav,bamboo,gerdamix,cougar,patriot,verbatim,acd,deepcool,sandisk,damixa,ocz,parus,bona,gran-stone,lite-on,raidmax,airmax,esko,air-cool,transcend,v-color,voda,wintek,gembird,zalman,id-cooling,chieftec,hyperx,plextor,remer,teamgroup,drop,vortex,ampm,iddis,ecocool,hgst,sven,kaledomino,geil,crucial,apacer,adata,supermicro,aerocool,titan,decoroom,seagate,yota,gamerstorm,ecs,mam,pccooler,daniel,neptun,akor,hynix,enermax,noctua,drgans,rubineta,biostar,leven,cobra,chenri,calorie,goodram,aardwolf"
cabinet,,""
skates,,""
electronics,High-end brand,"msi,dynacord,turbosound,tamron,optoma,rado,liberty,garmin,mackie,certina,kurzweil,blam,neumann,acer,oris,medeli,skyworth,viewsonic,preciosa,studiomaster,nikon,electro-voice,hisense,canon,oneplus,gretsch,proel,edox,louiserard,vivitek,xgimi,blg,lenovo,asus,adam,dji,longines,bulova,google,leem,ecler,bomberg,krk,roland,korg,tissot,hamilton,fender,suzuki,takamine,jamo,kuppersbusch,rcf,apple,canton,kef,sevenfriday,mido,seiko,biema,samson,otan"
painting,Affordable brand,"bosch,ryobi"
construction,Budget brand,"military,p.i.t.,lezard,fit,puckator,saturn,escada,vitek,kosmos,drgans,graphite,intex,wester,mekkan,oase,scarlett,akor,calorie,parus,rubineta,radiant,clatronic,mustang,rombica,rossinka,stels,blackdecker,drop,maxwell,eurolight,bovidix,gerdamix,eurolux,enkor,texa,dwt,paint,bossh,pit,stayer,oasis,stanley,neptun,polaris,voda,slezakrav,nowodvorski,wortex,iddis,tundra,ampm,esko,yota,matrix,hammer,rotorazer,kolner,bene,stavr,nexttool,stermay,temp,lidonet,vihr,energolux,daniel,elenberg,rowenta,sti,damixa,greenpro,cobra,remer,decoroom,edon,bamboo,total,gran-stone,deluxe,modern,solaris,ivt,galaxy,maman,crown,eco,alteco,ultraflash,ansmann,patriot,kalibr,iek,kaledomino"
ironing_board,Affordable brand,"ikea,bts,braun,tefal,bosch,philips"
smartphone,Mid-range brand,"umi,oppo,vivo,haier,leeco,lg,samsung,blackberry,fly,sony"
carriage,High-end brand,"hartan,noordi,dsland,cybex,junama,tako,mutsy,egg,babyzen,bugaboo,mima,hamilton,seed,anex"
player,Affordable brand,"teslastyle,cardrox,prology,autoline,incar,imx,kenwood,ams,mydean,alpine,pioneer"
motherboard,,""
soldering,Affordable brand,zubr
computers,Affordable brand,"ilife,micron,thermaltake,huawei,halmar,epson,fractaldesign,amazon,qmax,hec,powercolor,almacom,gigabyte,iiyama,midea,ikea,mebelson,aoc,corsair,afox,colorful,benq,pocketbook,kmk,wibtek,sapphire,chairman,xiaomi,asrock,gamdias,philips,zeppelin,huntkey,g.skill,amd,hori,iriver,nzxt,xerox,wd,reshin,sinotex,dxracer,gskill,kingston,gamemax,seasonic,r-senda,westerndigital,edifier,ballistix,zotac,roeyuta,ricoh,greentree,foxconn"
hood,Budget brand,"shindo,crown,aeg,unit,oasis,homs,turbo,deluxe,luxell,akro,turboair,ardo"
radar,Budget brand,"ibox,crunch,mystery,ritmix,hellion,fujida,whistler"
cartrige,Budget brand,"premier,superfine,europrint,nvprint,powerplant,crown,sakura,colorfix,barer,originalamnet,katun,colorway,nvp,aquamarine"
cpu,Affordable brand,amd
hob,Mid-range brand,"electrolux,samsung,fornelli,hotpoint-ariston,schaublorenz,danke,zanussi,korting,candy,fagor,haier,svar,hp,franke"
music_tools,High-end brand,"roland,korg,medeli,kurzweil"
saw,High-end brand,"husqvarna,hitachi,festool"
soldering,,""
drill,Mid-range brand,"hp,milwaukee,makita,metabo"
accessories,Affordable brand,"artway,berkut,zubr,autoline,hyundai,mio,pandect,tomahawk,newco,pioneer,magma,intego,imx,shimano,delsey,cardrox,alpine,laston,scierra,xiaomi,denzel,incar,starline,meizu,sho-me,kenwood,plano,stinger,einhell,samsonite,dewalt,inspector,trendvision,subini,heyner,bosch,prology,korin,ryobi,ams,nike,bestway,goodyear,stonelock,playme,arstisa,neoline,roncato,avis,tec,magnetta,gross,travelite,prestige,teslastyle,mydean"
scarf,Budget brand,"fabretti,conceptclub"
cooler,Affordable brand,"thermaltake,almacom,gamemax,midea,nzxt,amd,corsair"
coffee_machine,Affordable brand,"moulinex,bosch,xiaomi,braun,gipfel,kitfort,gorenje,philips,ariete,tefal"
subwoofer,High-end brand,"blam,canton"
bathroom,High-end brand,"ravak,jacobdelafon,libero,senspa,sharking"
components,Affordable brand,"genebre,foxconn,lemark,ikea,colorful,gigabyte,gamdias,lava,teorema,bravat,fractaldesign,gskill,afox,amd,westerndigital,almacom,ballistix,zeppelin,thermaltake,asrock,nzxt,powercolor,huntkey,omoikiri,g.skill,sapphire,elleci,wd,seasonic,blanco,gamemax,redblu,granfest,hec,sinotex,micron,corsair,kingston,zotac,roeyuta,r-senda,midea,florentina"
swing,Budget brand,"jinma,pituso,i-baby,babyswing,fitchbaby,mastela,fisherprice,la-di-da,lorelli"
air_heater,,""
pillow,Affordable brand,"mio,ikea,adamas,vegas,askona,xiaomi"
kettle,Budget brand,"centek,ventura,kambrook,scarlett,tramontina,berghoff,unit,taller,agness,lumme,redmond,willmark,saturn,bergner,wellberg,maxima,polaris,luazon,swissline,apollo,aston,maestro,vinzer,smile,elenberg,fissman,greentek,galaxy,agu,maxwell,vitek,marta,rondell,first,bene"
toilet,Budget brand,"rosa,gesso,colombo,sanita,iddis,faans,santeri"
skates,Mid-range brand,"maomaoku,segway,freefeet,tomoloo,candy,smoby,kugoo,fitrider"
cultivator,,""
kids,,""
power_supply,Affordable brand,"hec,gamemax,huntkey,seasonic,roeyuta,fractaldesign,corsair,gamdias,nzxt,gigabyte,r-senda,thermaltake"
